
PRCD_RECH_POM_ID_HAB_020 : 2981 row(s);
Action;Start;End;Duration;
Connection;14:36:56.316;14:36:59.497; 3181 ms;
Statment;14:36:59.497;14:36:59.551;   54 ms;
Execution;14:36:59.551;14:37:01.736; 2185 ms;
Total;14:36:56.316;14:37:01.736; 5420 ms;

PRCD_RECH_POM_ID_HAB_020;
N°;Name;Type;Size;Class;
1;ID_POM_STM;BIGINT;20;java.lang.Long;
2;CD_TYPE_IDNT;CHAR;10;java.lang.String;
3;ID_POM_SYST;VARCHAR;32;java.lang.String;
4;LB_POM_SI;VARCHAR;256;java.lang.String;
5;MIN_DATE;DATE;10;java.sql.Date;
6;MAX_DATE;DATE;10;java.sql.Date;
7;FL_CM;BYTEINT;4;java.lang.Integer;
8;FL_HORS_PRTF;INTEGER;11;java.lang.Integer;

PRCD_RECH_POM_ID_HAB_020 : 2972 row(s);
ID_POM_STM;CD_TYPE_IDNT;ID_POM_SYST;LB_POM_SI;MIN_DATE;MAX_DATE;FL_CM;FL_HORS_PRTF;
82291124;PRM                 ;30000730975440;null;2010-01-01;9999-12-31;1;null;
82291124;IDC                 ;07309754;EQUANT FRANCE SA;2010-01-01;9999-12-31;1;null;
82291123;IDC                 ;09106731;SA SAVOIE FRERES;2010-01-01;9999-12-31;1;null;
82291123;PRM                 ;30000910673177;null;2010-01-01;9999-12-31;1;null;
82291111;IDC                 ;01413356;FETE FORAINE D ETE;2010-08-11;9999-12-31;1;null;
82291111;PRM                 ;30000141335630;null;2010-08-11;9999-12-31;1;null;
82291102;PRM                 ;30000264018450;null;2010-01-01;9999-12-31;1;null;
82291102;IDC                 ;02640184;BOULANGERIE LA FERRIERE BOCHARD ;2010-01-01;9999-12-31;1;null;
82291085;IDC                 ;07211969;FIAT AUTO FRANCE;2010-01-01;9999-12-31;1;null;
82291085;PRM                 ;30000721196941;null;2010-01-01;9999-12-31;1;null;
82250958;PRM                 ;30000974039906;null;2010-01-01;9999-12-31;1;null;
82250958;IDC                 ;09740399;MATELOC / TRUYES / SGE 24829032;2010-01-01;9999-12-31;1;null;
1464199;PRM                 ;30000110275950;null;2004-03-01;9999-12-31;1;null;
1464199;PDC                 ;01102759;null;2004-03-01;2013-03-01;1;null;
1464199;IDC                 ;01102759;null;2004-03-01;9999-12-31;1;null;
1464109;IDC                 ;01102933;null;2004-03-01;9999-12-31;1;null;
1464109;PRM                 ;30000110293301;null;2004-03-01;9999-12-31;1;null;
1464109;PDC                 ;01102933;null;2004-03-01;2013-02-01;1;null;
1463595;IDC                 ;01103857;null;2004-03-01;9999-12-31;1;null;
1463595;PRM                 ;30000110385755;null;2004-03-01;9999-12-31;1;null;
1463595;PDC                 ;01103857;null;2004-03-01;2008-03-22;1;null;
1463567;PRM                 ;30000110390827;null;2004-05-01;9999-12-31;1;null;
1463567;PADT-C              ;0000002252;null;2004-05-01;2010-12-07;1;null;
1463567;IDC                 ;01103908;null;2004-05-01;9999-12-31;1;null;
1463520;PDC                 ;01103968;null;2004-02-16;2013-03-01;1;null;
1463520;IDC                 ;01103968;null;2004-02-16;9999-12-31;1;null;
1463520;PRM                 ;30000110396883;null;2004-02-16;9999-12-31;1;null;
1463414;PDC                 ;01104120;null;2004-03-01;2013-03-01;1;null;
1463414;PRM                 ;30000110412003;null;2004-03-01;9999-12-31;1;null;
1463414;IDC                 ;01104120;null;2004-03-01;9999-12-31;1;null;
1462504;PDC                 ;01106037;null;2004-02-12;2012-05-26;1;null;
1462504;IDC                 ;01106037;null;2004-02-12;9999-12-31;1;null;
1462504;PRM                 ;30000110603794;null;2004-02-12;9999-12-31;1;null;
1462434;IDC                 ;01106231;null;2004-03-01;9999-12-31;1;null;
1462434;PRM                 ;30000110623150;null;2004-03-01;9999-12-31;1;null;
1462434;PDC                 ;01106231;null;2004-03-01;2013-01-01;1;null;
1462427;PRM                 ;30000110626516;null;2004-03-01;9999-12-31;1;null;
1462427;PDC                 ;01106265;null;2004-03-01;2013-01-01;1;null;
1462427;IDC                 ;01106265;null;2004-03-01;9999-12-31;1;null;
1462353;PRM                 ;30000110649897;null;2004-01-14;9999-12-31;1;null;
1462353;PDC                 ;01106498;null;2004-01-14;2012-03-14;1;null;
1462353;IDC                 ;01106498;null;2004-01-14;9999-12-31;1;null;
1462087;IDC                 ;01107040;null;2004-02-11;9999-12-31;1;null;
1462087;PRM                 ;30000110704049;null;2004-02-11;9999-12-31;1;null;
1462087;PDC                 ;01107040;null;2004-02-11;2013-03-11;1;null;
1462064;PDC                 ;01107127;null;2004-03-01;2008-01-04;1;null;
1462064;IDC                 ;01107127;null;2004-03-01;9999-12-31;1;null;
1462064;PRM                 ;30000110712799;null;2004-03-01;9999-12-31;1;null;
1461612;PRM                 ;30000110815956;null;2004-02-20;9999-12-31;1;null;
1461612;PDC                 ;01108159;null;2004-02-20;2012-03-11;1;null;
1461612;IDC                 ;01108159;null;2004-02-20;9999-12-31;1;null;
1461441;PDC                 ;01108455;null;2004-02-19;2012-07-13;1;null;
1461441;IDC                 ;01108455;null;2004-02-19;9999-12-31;1;null;
1461441;PRM                 ;30000110845540;null;2004-02-19;9999-12-31;1;null;
1460858;IDC                 ;01109824;null;2004-11-01;9999-12-31;1;null;
1460858;PRM                 ;30000110982459;null;2004-11-01;9999-12-31;1;null;
1460858;PADT-C              ;0000009805;null;2004-11-01;2011-04-28;1;null;
1459816;IDC                 ;01111986;null;2004-02-19;9999-12-31;1;null;
1459816;PRM                 ;30000111198671;null;2004-02-19;9999-12-31;1;null;
1459816;PDC                 ;01111986;null;2004-02-19;2012-04-30;1;null;
1459649;PRM                 ;30000111235370;null;2004-02-11;9999-12-31;1;null;
1459649;PDC                 ;01112353;null;2004-02-11;2012-05-26;1;null;
1459649;IDC                 ;01112353;null;2004-02-11;9999-12-31;1;null;
1459449;PDC                 ;01112728;null;2004-02-12;2012-03-16;1;null;
1459449;PRM                 ;30000111272826;null;2004-02-12;9999-12-31;1;null;
1459449;IDC                 ;01112728;null;2004-02-12;9999-12-31;1;null;
1459307;PRM                 ;30000111306479;null;1998-10-14;9999-12-31;1;null;
1459307;PDC                 ;01113064;null;2004-03-01;2013-06-01;1;null;
1459307;IDC                 ;01113064;null;1998-10-14;9999-12-31;1;null;
1458907;PRM                 ;30000111394009;null;2004-02-06;9999-12-31;1;null;
1458907;PDC                 ;01113940;null;2004-02-06;2011-01-15;1;null;
1458907;IDC                 ;01113940;null;2004-02-06;9999-12-31;1;null;
1458791;PDC                 ;01114160;null;2004-02-13;2012-03-15;1;null;
1458791;IDC                 ;01114160;null;2004-02-13;9999-12-31;1;null;
1458791;PRM                 ;30000111416050;null;2004-02-13;9999-12-31;1;null;
1458785;IDC                 ;01114189;null;2004-03-01;9999-12-31;1;null;
1458785;PRM                 ;30000111418951;null;2004-03-01;9999-12-31;1;null;
1458785;PDC                 ;01114189;null;2004-03-01;2013-02-01;1;null;
1458735;PRM                 ;30000111427290;null;2004-02-17;9999-12-31;1;null;
1458735;PDC                 ;01114272;null;2004-02-17;2012-04-25;1;null;
1458735;IDC                 ;01114272;null;2004-02-17;9999-12-31;1;null;
1457325;IDC                 ;01116918;null;2004-02-12;9999-12-31;1;null;
1457325;PRM                 ;30000111691879;null;2004-02-12;9999-12-31;1;null;
1457325;PDC                 ;01116918;null;2004-02-12;2012-05-18;1;null;
1457292;PRM                 ;30000111698498;null;2004-02-06;9999-12-31;1;null;
1457292;PDC                 ;01116984;null;2004-02-06;2012-04-07;1;null;
1457292;IDC                 ;01116984;null;2004-02-06;9999-12-31;1;null;
1457243;PRM                 ;30000111706844;null;2004-02-06;9999-12-31;1;null;
1457243;PDC                 ;01117068;null;2004-02-06;2012-05-14;1;null;
1457243;IDC                 ;01117068;null;2004-02-06;9999-12-31;1;null;
1456921;IDC                 ;01117529;null;2004-06-25;9999-12-31;1;null;
1456921;PDC                 ;01117529;null;2004-06-25;2012-05-22;1;null;
1456921;PRM                 ;30000111752963;null;2004-06-25;9999-12-31;1;null;
1456602;IDC                 ;01118024;null;2005-06-01;9999-12-31;1;null;
1456602;PRM                 ;30000111802480;null;2005-06-01;9999-12-31;1;null;
1456602;PADT-C              ;0000027214;null;2005-06-01;2011-05-04;1;null;
1456297;PRM                 ;30000111842964;null;2004-09-01;9999-12-31;1;null;
1456297;PDC                 ;01118429;null;2004-09-01;2013-01-01;1;null;
1456297;IDC                 ;01118429;null;2004-09-01;9999-12-31;1;null;
1456151;PDC                 ;01118705;null;2004-12-03;2012-04-11;1;null;
1456151;IDC                 ;01118705;null;2004-12-03;9999-12-31;1;null;
1456151;PRM                 ;30000111870532;null;2004-12-03;9999-12-31;1;null;
1455901;PDC                 ;01119039;null;2005-07-01;2012-04-12;1;null;
1455901;IDC                 ;01119039;null;2005-07-01;9999-12-31;1;null;
1455901;PRM                 ;30000111903947;null;2005-07-01;9999-12-31;1;null;
1455468;PDC                 ;01119568;null;2006-02-15;2012-04-07;1;null;
1455468;PRM                 ;30000111956801;null;2006-02-15;9999-12-31;1;null;
1455468;IDC                 ;01119568;null;2006-02-15;9999-12-31;1;null;
1455463;PRM                 ;30000111957599;null;2006-02-21;9999-12-31;1;null;
1455463;PDC                 ;01119575;null;2006-02-21;2013-02-01;1;null;
1455463;IDC                 ;01119575;null;2006-02-21;9999-12-31;1;null;
1455248;PRM                 ;30000111977280;null;2009-10-28;9999-12-31;1;null;
1455248;PDC                 ;01122294;null;2010-02-22;2012-05-17;1;null;
1455248;IDC                 ;01119772;null;2009-10-28;9999-12-31;1;null;
1454680;PRM                 ;30000112028820;null;2007-06-15;9999-12-31;1;null;
1454680;PDC                 ;01120288;null;2007-06-15;2012-05-26;1;null;
1454680;IDC                 ;01120288;null;2007-06-15;9999-12-31;1;null;
1454502;PDC                 ;01120455;null;2007-06-15;2012-05-26;1;null;
1454502;IDC                 ;01120455;null;2007-06-15;9999-12-31;1;null;
1454502;PRM                 ;30000112045594;null;2007-06-15;9999-12-31;1;null;
1453893;PDC                 ;01122648;null;2010-07-28;2012-05-11;1;null;
1453893;PRM                 ;30000112096006;null;2009-10-28;9999-12-31;1;null;
1453893;IDC                 ;01120960;null;2009-10-28;9999-12-31;1;null;
1453883;PADT-C              ;0000036326;null;2008-06-25;2011-05-04;1;null;
1453883;PRM                 ;30000112096870;null;2008-06-25;9999-12-31;1;null;
1453883;IDC                 ;01120968;null;2008-06-25;9999-12-31;1;null;
1452863;PDC                 ;01121748;null;2009-04-02;2012-03-15;1;null;
1452863;PRM                 ;30000112174842;null;2009-04-02;9999-12-31;1;null;
1452863;IDC                 ;01121748;null;2009-04-02;9999-12-31;1;null;
1452841;PDC                 ;01121764;null;2009-03-03;2010-08-19;1;null;
1452841;IDC                 ;01121764;null;2009-03-03;9999-12-31;1;null;
1452841;PRM                 ;30000112176420;null;2009-03-03;9999-12-31;1;null;
1452705;PDC                 ;01121869;null;2009-05-01;2012-05-26;1;null;
1452705;IDC                 ;01121869;null;2009-05-01;9999-12-31;1;null;
1452705;PRM                 ;30000112186983;null;2009-05-01;9999-12-31;1;null;
1452647;PDC                 ;01121929;null;2009-07-17;2011-10-26;1;null;
1452647;IDC                 ;01121929;null;2009-07-17;9999-12-31;1;null;
1452647;PRM                 ;30000112192956;null;2009-07-17;9999-12-31;1;null;
1452518;IDC                 ;01122094;null;2009-09-04;9999-12-31;1;null;
1452518;PRM                 ;30000112209408;null;2009-09-04;9999-12-31;1;null;
1452518;PDC                 ;01122094;null;2009-09-04;2012-07-19;1;null;
1452021;IDC                 ;01141219;null;2009-11-23;9999-12-31;1;null;
1452021;PDC                 ;01122267;null;2009-12-28;2012-07-19;1;null;
1452021;PRM                 ;30000114121909;null;2009-11-23;9999-12-31;1;null;
1451829;PRM                 ;30000114132701;null;2010-06-22;9999-12-31;1;null;
1451829;PDC                 ;01122462;null;2010-07-05;2012-07-24;1;null;
1451829;IDC                 ;01141327;null;2010-06-22;9999-12-31;1;null;
1451716;PADT-C              ;0000037823;null;2011-03-28;2011-04-21;1;null;
1451716;PRM                 ;30000114139760;null;2010-10-07;9999-12-31;1;null;
1451716;IDC                 ;01141397;null;2010-10-07;9999-12-31;1;null;
1451426;IDC                 ;01200192;null;2004-02-24;9999-12-31;1;null;
1451426;PRM                 ;30000120019264;null;2004-02-24;9999-12-31;1;null;
1451426;PDC                 ;01200192;null;2004-02-24;2012-03-07;1;null;
1451090;IDC                 ;01200676;null;2009-10-28;9999-12-31;1;null;
1451090;PRM                 ;30000120067624;null;2009-10-28;9999-12-31;1;null;
1451090;PDC                 ;01213006;null;2010-05-03;2011-04-30;1;null;
1450827;PRM                 ;30000120123440;null;2004-02-24;9999-12-31;1;null;
1450827;PDC                 ;01201234;null;2004-02-24;2013-01-01;1;null;
1450827;IDC                 ;01201234;null;2004-02-24;9999-12-31;1;null;
1450086;IDC                 ;01203409;null;2004-05-01;9999-12-31;1;null;
1450086;PRM                 ;30000120340907;null;2004-05-01;9999-12-31;1;null;
1450086;PADT-C              ;0000002330;null;2004-05-01;2014-05-01;1;null;
1448992;IDC                 ;01205546;null;2004-02-24;9999-12-31;1;null;
1448992;PRM                 ;30000120554635;null;2004-02-24;9999-12-31;1;null;
1448992;PDC                 ;01205546;null;2004-02-24;2012-03-07;1;null;
1448848;PDC                 ;01205758;null;2004-03-01;2013-03-01;1;null;
1448848;IDC                 ;01205758;null;1996-08-01;9999-12-31;1;null;
1448848;PRM                 ;30000120575889;null;1996-08-01;9999-12-31;1;null;
1448602;PRM                 ;30000120628324;null;2004-02-25;9999-12-31;1;null;
1448602;PDC                 ;01206283;null;2004-02-25;2010-12-25;1;null;
1448602;IDC                 ;01206283;null;2004-02-25;9999-12-31;1;null;
1448090;IDC                 ;01207682;null;2004-02-24;9999-12-31;1;null;
1448090;PRM                 ;30000120768261;null;2004-02-24;9999-12-31;1;null;
1448090;PDC                 ;01207682;null;2004-02-24;2013-03-07;1;null;
1447918;PADT-C              ;0000002499;null;2004-05-01;2014-05-01;1;null;
1447918;IDC                 ;01208168;null;2004-05-01;9999-12-31;1;null;
1447918;PRM                 ;30000120816863;null;2004-05-01;9999-12-31;1;null;
1447495;PADT-C              ;0000011923;null;2004-12-01;2011-04-28;1;null;
1447495;PRM                 ;30000120940405;null;2004-12-01;9999-12-31;1;null;
1447495;IDC                 ;01209404;null;2004-12-01;9999-12-31;1;null;
1447268;PDC                 ;01209827;null;2004-02-24;2012-03-07;1;null;
1447268;PRM                 ;30000120982790;null;2004-02-24;9999-12-31;1;null;
1447268;IDC                 ;01209827;null;2004-02-24;9999-12-31;1;null;
1447060;PDC                 ;01210259;null;2004-02-24;2011-03-04;1;null;
1447060;PRM                 ;30000121025905;null;2004-02-24;9999-12-31;1;null;
1447060;IDC                 ;01210259;null;2004-02-24;9999-12-31;1;null;
1446998;PDC                 ;01210329;null;2004-02-24;2012-05-07;1;null;
1446998;IDC                 ;01210329;null;2004-02-24;9999-12-31;1;null;
1446998;PRM                 ;30000121032990;null;2004-02-24;9999-12-31;1;null;
1446927;PDC                 ;01210456;null;2004-02-23;2012-03-07;1;null;
1446927;IDC                 ;01210456;null;2004-02-23;9999-12-31;1;null;
1446927;PRM                 ;30000121045607;null;2004-02-23;9999-12-31;1;null;
1446790;IDC                 ;01210641;null;2004-11-09;9999-12-31;1;null;
1446790;PRM                 ;30000121064162;null;2004-11-09;9999-12-31;1;null;
1446790;PDC                 ;01210641;null;2004-11-09;2012-07-07;1;null;
1445646;IDC                 ;01212049;null;2007-08-02;9999-12-31;1;null;
1445646;PRM                 ;30000121204904;null;2007-08-02;9999-12-31;1;null;
1445646;PDC                 ;01212049;null;2007-08-02;2012-03-07;1;null;
1445607;PDC                 ;01212082;null;2007-10-01;2010-05-28;1;null;
1445607;IDC                 ;01212082;null;2007-10-01;9999-12-31;1;null;
